"creator","lastname","gender","title","year","notes_general","scan identifiers (internetarchive or google books)","best_ocr_estimate_identifier","best_ocr_estimate_edition_notes","incomplete"
"LADY MORGAN (née Sydney Owenson)","MORGAN","F","The O'Briens and the O'Flahertys",1827,,"obriensandoflah01morggoog obriensandoflah02sydgoog obriensandoflah00morggoog obriensandoflah00sydgoog obriensandoflah01sydgoog obriensandoflah02morggoog obriensandoflah03sydgoog obriensandoflah04sydgoog obriensandoflah05sydgoog obriensandoflah06sydgoog obriensoflaherty03morg obriensoflaherty02morg obriensoflaherty04morg obriensoflaherty01morg","obriensoflaherty01morg obriensoflaherty02morg obriensoflaherty03morg obriensoflaherty04morg","in 4 volumes",
"LADY MORGAN (née Sydney Owenson)","MORGAN","F","The Book of the Boudoir",1829,,"bookboudoir01sydgoog book_of_the_boudoir_morgan_vol1of2_yNIVAAAAYAAJ_google_epub book_of_the_boudoir_morgan_vol2of2_p9IVAAAAYAAJ_google_epub","book_of_the_boudoir_morgan_vol2of2_p9IVAAAAYAAJ_google_epub","in 2 volumes",
"LADY MORGAN (née Sydney Owenson)","MORGAN","F","The Princess, or the Beguine",1835,,"princessorbegui00morggoog princessorbegui00sydgoog princessorbegui01sydgoog princessorbegui02sydgoog princessorbegui03sydgoog the_princess_or_the_beguine_morgan_LEeA7VltwuYC_google_epub","the_princess_or_the_beguine_morgan_LEeA7VltwuYC_google_epub","in 3 volumes (bound together)",
"LADY MORGAN (née Sydney Owenson)","MORGAN","F","Woman and her Master",1840,,"womanandhermast05sydgoog woman_and_her_master_vol1of2_Q1Z5CUJS1k4C_google_epub woman_and_her_master_vol2of2_PrQqAAAAMAAJ_google_epub woman_and_her_master_vol1of2_GzMEAAAAYAAJ_google_epub","woman_and_her_master_vol1of2_GzMEAAAAYAAJ_google_epub woman_and_her_master_vol2of2_PrQqAAAAMAAJ_google_epub","in 2 volumes, mixed editions",
"LORD NORMANBY (Constantine Henry Phipps, 1st Marquis of Normanby)","NORMANBY","M","Matilda: a Tale of the Day",1825,,"matildataleofday00normrich matildataleofday01norm matildataleofday02norm matildaataleday00colbgoog matildaataleday01normgoog matildaataleday00normgoog","matildataleofday00normrich","entire text",
"LORD NORMANBY (Constantine Henry Phipps, 1st Marquis of Normanby)","NORMANBY","M","The English in Italy (a collection of romances)",1825,,"englishinitaly00normgoog englishinitaly00unkngoog the_english_in_italy_normanby_vol1of3_oS9LAAAAIAAJ_google_epub the_english_in_italy_normanby_vol2of3_oDBLAAAAIAAJ_google_epub the_english_in_italy_normanby_vol3of3_PjFLAAAAIAAJ_google_epub","the_english_in_italy_normanby_vol1of3_oS9LAAAAIAAJ_google_epub the_english_in_italy_normanby_vol2of3_oDBLAAAAIAAJ_google_epub the_english_in_italy_normanby_vol3of3_PjFLAAAAIAAJ_google_epub","in 3 volumes",
"LORD NORMANBY (Constantine Henry Phipps, 1st Marquis of Normanby)","NORMANBY","M","Yes and No: A Tale of the Day",1828,,"yesnotaleofday01norm yesnotaleofday02norm yesandnoataleda01normgoog yesandnoataleda00normgoog","yesnotaleofday01norm yesnotaleofday02norm","in 2 volumes",
"LORD NORMANBY (Constantine Henry Phipps, 1st Marquis of Normanby)","NORMANBY","M","The English in France (a collection of romances)",1828,,,,"NO SCANS FOUND 20100508","TRUE"
"LORD NORMANBY (Constantine Henry Phipps, 1st Marquis of Normanby)","NORMANBY","M","The Contrast",1832,,"contrast01norm contrast02norm contrast03norm","contrast01norm contrast02norm contrast03norm","in 3 volumes",
"MARIANNE SPENCER STANHOPE (Mrs. Robert Hudson)","STANHOPE","F","Almack's",1827,,"almacksnovel01hudsuoft almacksnovel02hudsuoft almacksnovel03hudsuoft almacksnovel01huds almacksnovel02huds almacksnovel03huds","almacksnovel01hudsuoft almacksnovel02hudsuoft almacksnovel03hudsuoft","in 3 volumes, second edition",
"JOHN STERLING","STERLING","M","Arthur Coningsby ",1833,,"arthurconingsby01stergoog arthurconingsby00stergoog arthur_coningsby_sterling_vol1of3_3W7EirqBgNAC_google_epub arthurconingsby02stergoog arthur_coningsby_sterling_vol2of3_XJ2LWuZYqeQC_google_epub arthur_coningsby_sterling_vol3of3_6S8bCX-0JXMC_google_epub","arthur_coningsby_sterling_vol1of3_3W7EirqBgNAC_google_epub arthurconingsby02stergoog arthur_coningsby_sterling_vol2of3_XJ2LWuZYqeQC_google_epub arthur_coningsby_sterling_vol3of3_6S8bCX-0JXMC_google_epub","in 3 volumes",
"ROBERT PLUMER WARD","WARD","M","Tremaine, or the Man of Refinement",1825,,"tremaineormanre01wardgoog tremaineormanre06wardgoog tremaineormanofr01warduoft tremaineormanofr02warduoft tremaineormanofr03warduoft tremaineormanre00wardgoog tremaineormanre02wardgoog","tremaineormanofr01warduoft tremaineormanofr02warduoft tremaineormanofr03warduoft","in 3 volumes",
"ROBERT PLUMER WARD","WARD","M","De Vere, or the Man of Independence",1827,,"devereormanofind02warduoft devereormaninde05wardgoog devereormaninde04wardgoog devereormanofind01warduoft devereormanofind04warduoft devereormaninde01wardgoog devereormaninde03wardgoog devereormaninde00wardgoog devereormaninde00wargoog devereormaninde01wargoog devereormaninde02wardgoog devereormanofind03warduoft devereormaninde06wardgoog","devereormanofind01warduoft devereormanofind02warduoft devereormanofind03warduoft devereormanofind04warduoft","in 4 volumes",
"ROBERT PLUMER WARD","WARD","M","Pictures of the World at Home and Abroad (3 stories)",1839,,"picturesworldat03wardgoog picturesworldat00unkngoog picturesworldat02wardgoog picturesworldat00wardgoog picturesworldat01wardgoog pictures_of_the_world_at_home_and_abroad_ward_vol1of3_zTYJAAAAQAAJ_google_epub pictures_of_the_world_at_home_and_abroad_ward_vol2of3_7TYJAAAAQAAJ_google_epub pictures_of_the_world_at_home_and_abroad_ward_vol3of3_BTcJAAAAQAAJ_google_epub","pictures_of_the_world_at_home_and_abroad_ward_vol1of3_zTYJAAAAQAAJ_google_epub pictures_of_the_world_at_home_and_abroad_ward_vol2of3_7TYJAAAAQAAJ_google_epub pictures_of_the_world_at_home_and_abroad_ward_vol3of3_BTcJAAAAQAAJ_google_epub","in 3 volumes",
"ROBERT PLUMER WARD","WARD","M","De Clifford, or The Constant Man",1841,,"decliffordorcon00clifgoog decliffordorcon01clifgoog decliffordorcon01wardgoog decliffordorcon00wardgoog decliffordorcon02wardgoog de_clifford_ward_vol1of3_k9gnAAAAMAAJ_google_epub de_clifford_ward_vol2of3_x9gnAAAAMAAJ_google_epub de_clifford_ward_vol3of3_89gnAAAAMAAJ_google_epub","de_clifford_ward_vol1of3_k9gnAAAAMAAJ_google_epub de_clifford_ward_vol2of3_x9gnAAAAMAAJ_google_epub de_clifford_ward_vol3of3_89gnAAAAMAAJ_google_epub","in 3 volumes",
"CHARLES WHITE","WHITE","M","Almack's Revisited (1st published as Henry Milton)",1828,,"almacksrevisite00whitgoog almacksrevisite01whitgoog almacksrevisite02whitgoog almack_s_revisited_white_vol1of3_dmgRAAAAYAAJ_google_epub almack_s_revisited_white_vol2of3_q2gRAAAAYAAJ_google_epub almack_s_revisited_white_vol3of3_42gRAAAAYAAJ_google_epub","almack_s_revisited_white_vol1of3_dmgRAAAAYAAJ_google_epub almack_s_revisited_white_vol2of3_q2gRAAAAYAAJ_google_epub almack_s_revisited_white_vol3of3_42gRAAAAYAAJ_google_epub","in 3 volumes",
"ANON","ANON","NA","Harold the Exile -- published by Colburn",1819,"UIUC lists author as: Byron, George Gordon Byron, Baron, 1788-1824","haroldexileinthr01lond haroldexileinthr02lond haroldexileinthr03lond","haroldexileinthr01lond haroldexileinthr02lond haroldexileinthr03lond","in 3 volumes",
"ANON","ANON","NA","High Life -- published by Saunders & Otley",1827,"UIUIC has note: “Possibly by Mrs. C.D. Burdett. Cf. Wolff, R.L. 19th cent. fiction”","high_life_anon_hhkUAAAAYAAJ_google_epub highlifenovel01burd highlifenovel02burd highlifenovel03burd","highlifenovel01burd highlifenovel02burd highlifenovel03burd","in 3 volumes",
"ANON","ANON","NA","Country Houses -- Saunders & Otley",1832,"UIUC has author note: “Attributed to Charlotte Trimmer Moore. Cf. NUC pre-1956”","countryhouses01moor countryhouses02moor countryhouses03moor","countryhouses01moor countryhouses02moor countryhouses03moor","in 3 volumes",
"ANON","ANON","NA","Fitz-George-published by Effingham Wilson",1834,"BNL has it: sys #001245527, http://catalogue.bl.uk/F/?func=full-set-set&set_number=102997&set_entry=000002&format=999",,,"NO SCANS FOUND 20100508","TRUE"
